seed,Group,chem,mean_weight,total_mean,sd_total_mean,above_threshold
15,mPFD,"1,2,3,4,6,7,8,9-ocdd",9.56E-08,0.011581327,0.017004002,4
15,mPFD,"1,2,3,4,7,8-hxcdf",8.08E-08,0.029768324,0.03640783,12
16,mPFD,"2,3,4,7,8-pncdf",0.268086992,0.262474651,0.132506685,96
16,Non-Dioxin-like PCBs,PCB 99,0.189734651,0.102371171,0.092976697,56
16,mPFD,"1,2,3,4,6,7,8-hxcdf",0.180031163,0.081696005,0.059970077,57
16,Non-Dioxin-like PCBs,PCB 194,0.124978307,0.039834125,0.045298732,24
16,Non-Ortho PCBs,PCB 126,0.040809679,0.123166939,0.090888143,68
16,mPFD,"1,2,3,4,7,8-hxcdf",0.03963874,0.029768324,0.03640783,12
16,mPFD,PCB 118,0.030741466,0.085772087,0.079365683,54
16,Non-Dioxin-like PCBs,PCB 187,0.030001778,0.023013487,0.039626962,12
16,Non-Dioxin-like PCBs,PCB 74,0.02461567,0.039520733,0.052661805,15
16,Non-Dioxin-like PCBs,PCB 153,0.02453486,0.017423753,0.030813948,7
16,mPFD,"1,2,3,6,7,8-hxcdf",0.019315584,0.023775785,0.02946219,8
16,mPFD,"1,2,3,4,6,7,8-hpcdd",0.012983707,0.025502809,0.031696889,12
16,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.007647232,0.011581327,0.017004002,4
16,Non-Ortho PCBs,PCB 169,0.005720222,0.075626265,0.076996433,44
16,Non-Dioxin-like PCBs,PCB 180,7.10E-04,0.00353903,0.006393246,0
16,Non-Dioxin-like PCBs,PCB 170,4.50E-04,0.010449381,0.019559485,4
16,Non-Dioxin-like PCBs,PCB 138,3.61E-07,0.022887075,0.027888138,10
16,mPFD,"1,2,3,6,7,8-hxcdd",2.31E-07,0.021597053,0.029298756,10
17,Non-Ortho PCBs,PCB 126,0.181099366,0.123166939,0.090888143,68
17,mPFD,"2,3,4,7,8-pncdf",0.179285852,0.262474651,0.132506685,96
17,Non-Dioxin-like PCBs,PCB 194,0.109001233,0.039834125,0.045298732,24
17,mPFD,PCB 118,0.100141913,0.085772087,0.079365683,54
17,mPFD,"1,2,3,4,6,7,8-hxcdf",0.076137282,0.081696005,0.059970077,57
17,mPFD,"1,2,3,4,6,7,8-hpcdd",0.064926637,0.025502809,0.031696889,12
17,Non-Dioxin-like PCBs,PCB 74,0.05501955,0.039520733,0.052661805,15
17,Non-Dioxin-like PCBs,PCB 138,0.04377432,0.022887075,0.027888138,10
17,Non-Dioxin-like PCBs,PCB 170,0.043638968,0.010449381,0.019559485,4
17,mPFD,"1,2,3,6,7,8-hxcdf",0.041106589,0.023775785,0.02946219,8
17,mPFD,"1,2,3,6,7,8-hxcdd",0.029709392,0.021597053,0.029298756,10
17,Non-Dioxin-like PCBs,PCB 99,0.0263399,0.102371171,0.092976697,56
17,Non-Ortho PCBs,PCB 169,0.015527558,0.075626265,0.076996433,44
17,Non-Dioxin-like PCBs,PCB 153,0.013617345,0.017423753,0.030813948,7
17,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.009083556,0.011581327,0.017004002,4
17,mPFD,"1,2,3,4,7,8-hxcdf",0.007473376,0.029768324,0.03640783,12
17,Non-Dioxin-like PCBs,PCB 180,0.002256502,0.00353903,0.006393246,0
17,Non-Dioxin-like PCBs,PCB 187,0.00186066,0.023013487,0.039626962,12
18,Non-Ortho PCBs,PCB 169,0.236297872,0.075626265,0.076996433,44
18,Non-Ortho PCBs,PCB 126,0.153495276,0.123166939,0.090888143,68
18,Non-Dioxin-like PCBs,PCB 99,0.130009722,0.102371171,0.092976697,56
18,mPFD,PCB 118,0.123332331,0.085772087,0.079365683,54
18,mPFD,"1,2,3,6,7,8-hxcdf",0.116471937,0.023775785,0.02946219,8
18,mPFD,"1,2,3,4,6,7,8-hxcdf",0.063962956,0.081696005,0.059970077,57
18,Non-Dioxin-like PCBs,PCB 170,0.045902837,0.010449381,0.019559485,4
18,mPFD,"2,3,4,7,8-pncdf",0.037483083,0.262474651,0.132506685,96
18,Non-Dioxin-like PCBs,PCB 153,0.033636103,0.017423753,0.030813948,7
18,mPFD,"1,2,3,4,7,8-hxcdf",0.014912139,0.029768324,0.03640783,12
