"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"294",17,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"295",17,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"296",17,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"297",17,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"298",17,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"299",17,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"300",17,"mPFD","2,3,4,7,8-pncdf",0.0213499817236964,0.022785687851283,9.85868262387431e-05,100
"301",17,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"302",17,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"303",17,"mPFD","1,2,3,4,6,7,8-hxcdf",0,0.000812445079317047,0.000192221485691723,71
"304",17,"Non-Ortho PCBs","PCB 126",0.0099320899796288,0.010731540842584,5.24662956248506e-05,100
"305",17,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"306",17,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"307",18,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"308",18,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
